Change No.,Assign Dept,Category,Chs Change Level,Current Phase,Orig Date Entered,Requested Date,Close Time,Change Status,Title,Description,Requested by,Estimated LOE,Chs 2020 Focus,Chs Project,Owner,Chs Est Hours over 100,Priority Code,Logical Name,Affected Item,Actual Outage End
"C1023390","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","3","RFC - IMPLEMENTATION","10/09/12 10:12:00","12/31/18 00:00:00","","IN PROGRESS","Cardiology PMO","Cardiology PMO","DPMARTIN","500","","NO","DPMARTIN","1000","2 - HIGH","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
"C1024053","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - RESEARCH","10/22/12 11:18:16","05/31/16 00:00:00","","PENDING CUSTOMER","Lawson Client wants to know if a report called Simple Gross to Net can be expanded in order to obtai","Lawson Client wants to know if a report called Simple Gross to Net can be expanded in order to obtain GLDL information behind the report
Client advises she has worked with David Frank in the past","DBFRANK","99","","NO","DBFRANK","0","4 - LOW","LAWSON ","APPLICATION SERVICES",""
"C1024103","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - RESEARCH","10/22/12 16:59:21","03/25/13 00:00:00","","PENDING CUSTOMER"," Lawson Cobra extract additional processing for divorce and child aging","Lawson Cobra extract additional processing for divorce and child aging","DBFRANK","39","","NO","DBFRANK","0","4 - LOW","LAWSON ","APPLICATION SERVICES",""
"C1030137","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","3","RFC - IMPLEMENTATION","01/25/13 16:52:08","01/01/21 00:00:00","","IN PROGRESS","Meaningful Use Timelogging Bucket","Meaningful Use Timelogging Bucket","RBFARRIS","24100","FINANCIAL VITALITY","NO","RBFARRIS","24000","1 - CRITICAL","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
"C1036244","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - RESEARCH","04/18/13 16:44:51","06/30/14 00:00:00","","DEFERRED","Project: Lawson: Automate O.E. txn processing associated with life insurance and disability subject","Project: Lawson: Automate O.E. txn processing associated with life insurance and disability subject to underwriting.

The current process involves a significant amount of TSG and client intervention to separate out txns subject to underwriting. The txns submit to underwriting must be deleted before the remaining txns are released and updated in Lawson. There are also formatting issues with the file after txns subject to underwriting are released. The time required jeopardizes the timely release of txns to Lawson.

Converted from PRF # 192514

http://chsweb.carilion.com/Pbase/query/ShowPrf.jsp?prfNumber=192514","DBFRANK","100","","NO","DBFRANK","0","4 - LOW","LAWSON ","APPLICATION SERVICES",""
"C1065904","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","3","RFC - COMPLETION","03/23/14 19:22:52","02/28/18 00:00:00","","PENDING VENDOR","Online Catalog Solution for Jefferson College","Online Catalog Solution for Jefferson College
Requested by 9/1/2017
Primary Contact: Margie Vest, JCHS
Currently, Jefferson College has requested this project be reopened and has approved funding for it.
REOPENED 6/1/2017

Per Margie Vest: 8/3/2017
Expanded scope from implementation of JCHS Course Catalog project (due 9/1/2017) to include the following:
- Implementation of API with Acalog application.  Client decided on this method after initiation of the Online Catalog project, which increased the number of estimated hours for implementation above the original estimated amount of 50 hours.
- Composing a JCHS Student Handbook in Acalog (added - target implementation - TBD)
- Implementing Curriculog course management module - (added - target implemntation timeline - Jan-Feb, 2018)

History of project:
REOPENED 4/13/2016
Timeline: April - August, 2016
REOPENED 8/3/2016
Revised timeline: Sept 2016 - March 2017
OPENED 3/23/2014
Research an online catalog publishing and curriculum management solution.  This was previously part of the proposal for a Title 3 Grant for JCHS in 2014.","MAWOMACK","50","","NO","JBROMEISER","0","2 - HIGH","UNDETERMINED","UNDETERMINED SERVICES",""
"C1072547","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","4","RFC - RESEARCH","06/14/14 09:47:56","07/17/18 00:00:00","","PENDING VENDOR"," B-Line ClinSkills Migration","B-Line ClinSkills Migration
Primary Contact: Heidi Lane, Sr. Dir. Academic Support
Timeline: June 2014 - June 18, 2015 -
Effective May 2016: Vendor has postponed release until June 2017

Description:
At the end of 2015 the Clinical Skills product will no longer be supported.  Support renewal in 2016 will no longer be renewable.
Option is to migrate to the SimCapture product.
Project Team members include:
Heidi Lane, Primary
Beth Ipock
Liz Sawyer
John Hodge
Jason Wright
Mike Womack

Initiating phase:
- Research other vendors: i.e. EMS: Educational Mgmt Systems; CAE Healthcare/Meti-Learning Space - Tampa,FL (Heidi says impressive)
- Conifrm with Bryan/B-Line total annual maintenance cost increase
- Ask Bryan/B-Line about implementation timeline
- Week of 6/16 - ACCME Conf Mtg at Riverside I - will discuss how cost of B-Line SYstem is shared between CRMH/MedEd and VTCSOM.
- Plans in the works to implemenat a new Sim Center at VTC in Riverside 3 (may share with David Musick's Sim Lab at CRMH.
- Liz is attending an ASP Conference in Indianapolis the week of 6/16 - compose some questions for her to ask B-Line and other vendors.","MAWOMACK","150","","NO","MAWOMACK","50","3 - MEDIUM","B-LINE MEDICAL","APPLICATION SERVICES",""
"C1079371","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - IMPLEMENTATION","09/04/14 08:48:15","09/30/25 00:00:00","","IN PROGRESS","Tracking RFC for Space Planning Program Management","Tracking RFC for Space Planning Program Management","DPMARTIN","500","","NO","DPMARTIN","1000","2 - HIGH","UNDETERMINED","UNDETERMINED SERVICES",""
"C1085745","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - OPTIMIZATION","4","RFC - IMPLEMENTATION","11/19/14 15:24:15","08/22/17 00:00:00","","IN PROGRESS","PROJECT: LAWSON: Modify Pension extract to add specific effective date for address","PROJECT: LAWSON: Modify Pension extract to add specific effective date for address","DNMOULIN","23","","NO","DBFRANK","0","3 - MEDIUM","LAWSON ","APPLICATION SERVICES",""
"C1087228","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","4","RFC - IMPLEMENTATION","12/09/14 14:53:49","10/06/17 00:00:00","","IN PROGRESS","Print SCA, MedKey and NCS checks using the Secure32 Application.","Print SCA, MedKey and NCS checks using the Secure32 Application.","DEEVANS","24","","NO","TARINN","0","3 - MEDIUM","SUNGARD AVANTGARD SECURE32","APPLICATION SERVICES",""
