Change No.,Assign Dept,Category,Chs Change Level,Current Phase,Orig Date Entered,Requested Date,Close Time,Change Status,Title,Description,Requested by,Estimated LOE,Chs 2020 Focus,Chs Project,Owner,Chs Est Hours over 100,Priority Code,Logical Name,Affected Item,Actual Outage End
"C1020964","SOLUTIONS_DELIVERY_CLINICAL","RFC - MAINTENANCE","2","RFC - IMPLEMENTATION","08/22/12 11:35:42","03/30/18 00:00:00","","IN PROGRESS","GE Muse Ambulatory Build-out (version 8)","GE Muse Upgrade
•	The objective of the project is to upgrade the GE Muse System to the latest version and migrate the server hardware hosting the product from GE-supplied hardware to TSG-supplied hardware.
•	The project will also address moving the CRMH site from a six-digit MRN scheme to a seven-digit MRN scheme to avoid an issue that will take place sometime in 2014 when MRNs for CRMH will expand to seven digits.","DPMARTIN","400","INNOVATION","YES","DPMARTIN","2500","2 - HIGH","MUSE ","APPLICATION SERVICES",""
"C1058938","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","2","RFC - RESEARCH","01/07/14 15:02:08","10/01/17 00:00:00","","IN PROGRESS","Rees Scientific Temperature Monitoring","Rees Scientific Temperature Monitoring","DPMARTIN","1200","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","TLFREEMAN","4000","2 - HIGH","REES TEMPERATURE MONITORING","APPLICATION SERVICES",""
"C1076595","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","2","RFC - IMPLEMENTATION","07/31/14 15:52:09","05/31/18 00:00:00","","IN PROGRESS","Rauland Responder 5 - Install Nurse Call at RMH","Install Nurse Call at RMH","MMSCHEAFFEL","1420","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","RBFARRIS","50","2 - HIGH","UNDETERMINED","UNDETERMINED SERVICES",""
"C1084282","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","1","RFC - IMPLEMENTATION","11/02/14 07:54:24","07/31/17 00:00:00","","IN PROGRESS","2.4 Patient Prompt - Patient Appt Reminder Replacement - (Access to Care)","Patient Appt Reminder Software Replacement","DRAQUILO","200","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","DRAQUILO","100","3 - MEDIUM","UNDETERMINED","UNDETERMINED SERVICES",""
"C1086315","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","2","RFC - COMPLETION","11/28/14 10:49:55","02/27/17 00:00:00","","PENDING REVIEW","Kronos v8 Upgrade","Kronos v8 Upgrade","DRAQUILO","1100","WORKFORCE FOR THE FUTURE","YES","DRAQUILO","1000","2 - HIGH","KRONOS SCHEDULER / VORTEX","APPLICATION SERVICES",""
"C1090853","SOLUTIONS_DELIVERY_CLINICAL","RFC - MAINTENANCE","2","RFC - COMPLETION","01/23/15 11:28:57","08/25/17 23:00:00","","IN PROGRESS","PowerScribe 360 Upgrade","Need to upgrade PowerScribe 360 to 4.0 for new enhancements and bug fixes. Below are RFC's that are closed and related to this main project.

1.	C1063252  Radiologist need the ability to add Bi-Rads within PS-360.
a.	Lisa A said that she has made some progress but it is unfortunately going to be a slow process because the radiologists decided they want to do a standard template for all screening mammo studies that would fall in that Bi-Rads 0-2 range to make it more consistent and efficient.
b.	Spoke breifly with Sonya on what is needed as far as the key phrase.  Basically something that is for the Bi-rad code and density.
c.	We need a key phrase in the body.  Integration searches for Bi-rads category 1 grabs the 1st value put a space bar behind the word/number.  A key phrase is in the autotext and wouldn't be in another report. Example for density, perhaps breast density
2.	C1063255 Read multiple studies in PS-360


3.	C1065550 Please map the fluoro time answer located in the radiant end exam contrast/fluoro questionaire in the radinat end exam navigator to Powerscribe
a.	Please map the answer total flouro time answer locatied in the fluoro/cine documentation flow sheet for Intervential radiology to powerscribe.
b.	Benefit / Value:
i.	conpliant with PQRS requirement

4.	C1081725 Peer reivew will be part of the 3.0 upgrade as far as purchasing.  We will not configure or do anything specific to Peer Reivew until the upgrade has been completed.

5.	C1090853 Need to upgrade PS 360 to 3.0 for new enhancements and bug fixes.
a.	Contacted Chuck Perterson for docuemnts and to see if PopwerScribe has any new things that will be introduced in the near future.  I also had AJ to contact Sectra, they will be doing dose tracking and advance features are coming after the RMH Go-live but that should not affect PowerScribe.
b.	I also contacted Nuance and their responds was that Nuance does not perform qualifications on Integrations.  It is up to the Client to confirm with the Vendor that their specific version of the vendor product is supported with their version of PowerScribe 360/Reporting.  That being said, they do not have any known issues with Sectra

6.	C1094760 Please create the below teaching fields in PowerScribe and map them to the correct reporting fields in epic.
a.	Powerscribe teaching fields addition. We would like to add 2 'Teaching' field codes to powerscribe to track laterality errors in dictation. 'Teaching:K'  would be noted as 5a- Discrepancy in laterality- unlikely to be clinically significant. 'Teaching:S'  would be noted as 5b- Discrepancy in laterality- likely to be clinically significant. Epic application module to be optimized: Radiology (Radiant) Improvement Initiative this Optimization will effect: Documentation Improvement. Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL
b.	Benefit / Value: This will aide the imaging QM specialist track laterality errors.

7.	C1094990 Radiation Dose to be used from modality DICOM to populate PACS and Powerscribe.
a.	On hold until the upgrade.  07/08/15:  We will not be upgrading to 2.0.  The PowerScribe upgrade will be to upgrade to 2.5.1 which will not happen until we get new equipment that will have Windows

8. PowerShare, to include Blue Field as well
9. C1163906 Make Sure all Powerscribe 360 codes are correct in Powerscribe

Needs to be complete prior to 360 upgrade.  Per Thomas, this needs to be tracked with the upgrade, closing C1163906","DNHENLEY","460","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","RBJONES","0","3 - MEDIUM","POWERSCRIBE ","APPLICATION SERVICES",""
"C1094535","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","2","RFC - IMPLEMENTATION","03/06/15 15:45:21","02/28/18 00:00:00","","IN PROGRESS","Enterprise PaceArt Activation","Enterprise PaceArt Activation","DPMARTIN","430","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","DPMARTIN","1500","3 - MEDIUM","MUSE ","APPLICATION SERVICES",""
"C1097125","SOLUTIONS_DELIVERY_CLINICAL","RFC - MAINTENANCE","3","RFC - IMPLEMENTATION","04/06/15 11:44:29","08/31/17 00:00:00","","IN PROGRESS","Safewatch (Formerly Riskonnect) with related integration","SafeWatch (Formerly Riskonnect)","DRAQUILO","2100","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","DRAQUILO","1000","2 - HIGH","SAFEWATCH","APPLICATION SERVICES",""
"C1114180","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","1","RFC - IMPLEMENTATION","10/19/15 09:58:44","10/31/17 00:00:00","","IN PROGRESS","7 Infor Contract Management","Infor Contract Management","DRAQUILO","200","INNOVATION","YES","DRAQUILO","100","2 - HIGH","LAWSON ","APPLICATION SERVICES",""
"C1117669","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","3","RFC - RESEARCH","11/23/15 12:58:27","","","PENDING CUSTOMER","Healthy Planet (Epic) Implementation","Implement Healthy Planet / Care Planning functions and assests within Epic","DMLITTLEPAGE","5000","FINANCIAL VITALITY","YES","RBFARRIS","50000","1 - CRITICAL","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
